"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\Administrator\Documents\horizoncraft\script\Components\Component.cs", "C#", 1, 0, 0, 1
"c:\Users\Administrator\Documents\horizoncraft\script\Components\ComponentManager.cs", "C#", 1, 0, 0, 1
"c:\Users\Administrator\Documents\horizoncraft\script\Components\ComponentSystem.cs", "C#", 2, 0, 0, 2
"c:\Users\Administrator\Documents\horizoncraft\script\Components\EntityComponents\EntityComponent.cs", "C#", -13, 0, -2, -15
"c:\Users\Administrator\Documents\horizoncraft\script\Components\Systems\FurnaceSystem.cs", "C#", -1, 0, 0, -1
"c:\Users\Administrator\Documents\horizoncraft\script\Components\Systems\ItemComponentSystem.cs", "C#", 5, 0, 3, 8
"c:\Users\Administrator\Documents\horizoncraft\script\Components\Systems\ItemDurableSystem.cs", "C#", 1, 0, 0, 1
"c:\Users\Administrator\Documents\horizoncraft\script\Components\TickSystem.cs", "C#", 5, 0, 1, 6
"c:\Users\Administrator\Documents\horizoncraft\script\Entity\EntityData.cs", "C#", 45, 0, 5, 50
"c:\Users\Administrator\Documents\horizoncraft\script\Entity\EntityMeta.cs", "C#", -8, 0, -1, -9
"c:\Users\Administrator\Documents\horizoncraft\script\Entity\EntityNode.cs", "C#", -11, -21, -1, -33
"c:\Users\Administrator\Documents\horizoncraft\script\Entity\Entitydata.cs", "C#", -28, 0, -3, -31
"c:\Users\Administrator\Documents\horizoncraft\script\Entity\IEntityNode.cs", "C#", -5, 0, -1, -6
"c:\Users\Administrator\Documents\horizoncraft\script\Events\PlayerEvents.cs", "C#", 282, 1, 34, 317
"c:\Users\Administrator\Documents\horizoncraft\script\Events\player\PlayerEvent.cs", "C#", 63, 0, 16, 79
"c:\Users\Administrator\Documents\horizoncraft\script\Features\EntityManage.cs", "C#", -160, -3, -20, -183
"c:\Users\Administrator\Documents\horizoncraft\script\Horizoncraft.cs", "C#", -8, 0, 0, -8
"c:\Users\Administrator\Documents\horizoncraft\script\Interface\ICreateService.cs", "C#", 9, 5, 2, 16
"c:\Users\Administrator\Documents\horizoncraft\script\Interface\ITarget.cs", "C#", 5, 0, 1, 6
"c:\Users\Administrator\Documents\horizoncraft\script\Materials.cs", "C#", -21, 0, -3, -24
"c:\Users\Administrator\Documents\horizoncraft\script\Net\ChunkSnapshot.cs", "C#", 12, 4, 1, 17
"c:\Users\Administrator\Documents\horizoncraft\script\Net\EntityDataSnapShot.cs", "C#", 22, 0, 4, 26
"c:\Users\Administrator\Documents\horizoncraft\script\Net\EntityPack.cs", "C#", 11, 0, 2, 13
"c:\Users\Administrator\Documents\horizoncraft\script\Net\PlayerDataSnapshot.cs", "C#", 33, 0, 5, 38
"c:\Users\Administrator\Documents\horizoncraft\script\Net\PlayerdataSnapshot.cs", "C#", -19, 0, -3, -22
"c:\Users\Administrator\Documents\horizoncraft\script\Net\UUIDPack.cs", "C#", 8, 0, 2, 10
"c:\Users\Administrator\Documents\horizoncraft\script\Net\WorldSnapshot.cs", "C#", 1, 0, 0, 1
"c:\Users\Administrator\Documents\horizoncraft\script\PlayerData.cs", "C#", 43, 1, 6, 50
"c:\Users\Administrator\Documents\horizoncraft\script\Services\Events\ClientPlayerEvents.cs", "C#", 77, 1, 9, 87
"c:\Users\Administrator\Documents\horizoncraft\script\Services\chunk\ChunkServiceBase.cs", "C#", 359, 88, 52, 499
"c:\Users\Administrator\Documents\horizoncraft\script\Services\chunk\ClientChunkService.cs", "C#", 59, 1, 10, 70
"c:\Users\Administrator\Documents\horizoncraft\script\Services\chunk\HostChunkService.cs", "C#", 134, 10, 16, 160
"c:\Users\Administrator\Documents\horizoncraft\script\Services\chunk\PreviewChunkService.cs", "C#", 23, 0, 5, 28
"c:\Users\Administrator\Documents\horizoncraft\script\Services\chunk\SingleChunkService.cs", "C#", 13, 0, 3, 16
"c:\Users\Administrator\Documents\horizoncraft\script\Services\entity\ClientEntityService.cs", "C#", 9, 0, 2, 11
"c:\Users\Administrator\Documents\horizoncraft\script\Services\entity\EntityServiceBase.cs", "C#", 218, 6, 28, 252
"c:\Users\Administrator\Documents\horizoncraft\script\Services\entity\HostEntityService.cs", "C#", 27, 1, 3, 31
"c:\Users\Administrator\Documents\horizoncraft\script\Services\player\ClientPlayerService.cs", "C#", 51, 0, 9, 60
"c:\Users\Administrator\Documents\horizoncraft\script\Services\player\HostPlayerService.cs", "C#", 106, 8, 10, 124
"c:\Users\Administrator\Documents\horizoncraft\script\Services\player\PlayerServiceBase.cs", "C#", 223, 3, 27, 253
"c:\Users\Administrator\Documents\horizoncraft\script\Services\player\PreviewPlayerService.cs", "C#", 31, 7, 6, 44
"c:\Users\Administrator\Documents\horizoncraft\script\Services\player\SinglePlayerService.cs", "C#", 11, 0, 2, 13
"c:\Users\Administrator\Documents\horizoncraft\script\Services\world\ClientWorldService.cs", "C#", 40, 0, 7, 47
"c:\Users\Administrator\Documents\horizoncraft\script\Services\world\HostWorldService.cs", "C#", 52, 0, 6, 58
"c:\Users\Administrator\Documents\horizoncraft\script\Services\world\PreviewWorldService.cs", "C#", 21, 0, 4, 25
"c:\Users\Administrator\Documents\horizoncraft\script\Services\world\SingleWorldService.cs", "C#", 21, 0, 5, 26
"c:\Users\Administrator\Documents\horizoncraft\script\Services\world\WorldServiceBase.cs", "C#", 31, 6, 8, 45
"c:\Users\Administrator\Documents\horizoncraft\script\Test\test.cs", "C#", 0, 0, 1, 1
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\Chunk.cs", "C#", 1, -1, 1, 1
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\Service\IWorldClientService.cs", "C#", -5, 0, -1, -6
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\Service\IWorldHostService.cs", "C#", -7, -5, -3, -15
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\Service\IWorldService.cs", "C#", -16, -28, -11, -55
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\Service\IWorldTickable.cs", "C#", -5, -1, -1, -7
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\Service\WorldBase.cs", "C#", -607, -34, -89, -730
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\Service\WorldClientService.cs", "C#", -250, -8, -43, -301
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\Service\WorldHostService.cs", "C#", -472, -21, -71, -564
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\Service\WorldPreviewService.cs", "C#", -100, -4, -17, -121
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\Service\WorldSingleService.cs", "C#", -213, -6, -35, -254
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\Struct\PerbuildStruct.cs", "C#", 37, 0, 5, 42
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\Tool\SqliteTool.cs", "C#", 11, 3, 3, 17
"c:\Users\Administrator\Documents\horizoncraft\script\WorldParials\Host\WorldHostRpc_Player.cs", "C#", -101, 0, -12, -113
"c:\Users\Administrator\Documents\horizoncraft\script\WorldParials\WorldClientRpc.cs", "C#", -121, -1, -16, -138
"c:\Users\Administrator\Documents\horizoncraft\script\WorldParials\WorldHostRpc.cs", "C#", -51, -1, -7, -59
"c:\Users\Administrator\Documents\horizoncraft\script\rpc\ChunkServiceNode.cs", "C#", 120, 3, 14, 137
"c:\Users\Administrator\Documents\horizoncraft\script\rpc\EntityServiceNode.cs", "C#", 49, 3, 9, 61
"c:\Users\Administrator\Documents\horizoncraft\script\rpc\PlayerInventoryServiceNode.cs", "C#", 105, 3, 11, 119
"c:\Users\Administrator\Documents\horizoncraft\script\rpc\PlayerServiceNode.cs", "C#", 120, 15, 11, 146
"Total", "-", 276, 35, 9, 320